ORGANIZATION,PROGRAM,DESCRIPTION,YTD_AMOUNT,QTD_AMOUNT                                                                                                                                                                                                    
2024 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,GENERAL EXPENDITURES TOTALS:,3513780.38,973142.6
2024 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,OFFICE TOTALS:,3513780.38,973142.6
2024 OFFICE OF THE MAJORITY LEADER,INTERN ALLOWANCES,PERSONNEL COMPENSATION,56134.34,5866.66
2024 OFFICE OF THE MAJORITY LEADER,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,56134.34,5866.66
2024 OFFICE OF THE MAJORITY LEADER,INTERN ALLOWANCES,OFFICE TOTALS:,56134.34,5866.66
2024 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,7384409.12,2186207.23
2024 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,TRAVEL,128882.31,57757.13
2024 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,RENT  COMMUNICATION  UTILITIES,17692.12,1029.37
2024 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,4384.22,2115.22
2024 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,OTHER SERVICES,71746.28,71271.28
2024 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,397649.52,142310.36
2024 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,EQUIPMENT,34011.01,28755.01
2024 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,GENERAL EXPENDITURES TOTALS:,8038774.58,2489445.6
2024 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,OFFICE TOTALS:,8038774.58,2489445.6
2024 OFFICE OF THE MINORITY LEADER,INTERN ALLOWANCES,PERSONNEL COMPENSATION,123740.23,35333.33
2024 OFFICE OF THE MINORITY LEADER,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,123740.23,35333.33
2024 OFFICE OF THE MINORITY LEADER,INTERN ALLOWANCES,OFFICE TOTALS:,123740.23,35333.33
2024 OFFICE OF THE MAJORITY WHIP,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,2520643.21,753177.25
2024 OFFICE OF THE MAJORITY WHIP,GENERAL EXPENDITURES,TRAVEL,8210.35,0
2024 OFFICE OF THE MAJORITY WHIP,GENERAL EXPENDITURES,RENT  COMMUNICATION  UTILITIES,16012.85,4440.99
2024 OFFICE OF THE MAJORITY WHIP,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,4482.28,2989.28
2024 OFFICE OF THE MAJORITY WHIP,GENERAL EXPENDITURES,OTHER SERVICES,5849.91,1574.97
2024 OFFICE OF THE MAJORITY WHIP,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,198628.71,50174.16
2024 OFFICE OF THE MAJORITY WHIP,GENERAL EXPENDITURES,EQUIPMENT,69869.39,29175.68
2024 OFFICE OF THE MAJORITY WHIP,GENERAL EXPENDITURES,GENERAL EXPENDITURES TOTALS:,2823696.7,841532.33
2024 OFFICE OF THE MAJORITY WHIP,GENERAL EXPENDITURES,OFFICE TOTALS:,2823696.7,841532.33
2024 OFFICE OF THE MAJORITY WHIP,INTERN ALLOWANCES,PERSONNEL COMPENSATION,31170.02,7933.34
2024 OFFICE OF THE MAJORITY WHIP,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,31170.02,7933.34
2024 OFFICE OF THE MAJORITY WHIP,INTERN ALLOWANCES,OFFICE TOTALS:,31170.02,7933.34
2024 OFFICE OF THE MINORITY WHIP,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,2657176.36,723186.66
2024 OFFICE OF THE MINORITY WHIP,GENERAL EXPENDITURES,TRAVEL,10295.5,6126.67
2024 OFFICE OF THE MINORITY WHIP,GENERAL EXPENDITURES,RENT  COMMUNICATION  UTILITIES,25047.21,6566.24
2024 OFFICE OF THE MINORITY WHIP,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,306.06,0
2024 OFFICE OF THE MINORITY WHIP,GENERAL EXPENDITURES,OTHER SERVICES,13117.5,0
2024 OFFICE OF THE MINORITY WHIP,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,4273.52,1408.78
2024 OFFICE OF THE MINORITY WHIP,GENERAL EXPENDITURES,EQUIPMENT,2669.64,667.41
2024 OFFICE OF THE MINORITY WHIP,GENERAL EXPENDITURES,GENERAL EXPENDITURES TOTALS:,2712885.79,737955.76
2024 OFFICE OF THE MINORITY WHIP,GENERAL EXPENDITURES,OFFICE TOTALS:,2712885.79,737955.76
2024 OFFICE OF THE MINORITY WHIP,INTERN ALLOWANCES,PERSONNEL COMPENSATION,58291.67,21541.67
2024 OFFICE OF THE MINORITY WHIP,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,58291.67,21541.67
2024 OFFICE OF THE MINORITY WHIP,INTERN ALLOWANCES,OFFICE TOTALS:,58291.67,21541.67
2024 DEMOCRATIC CAUCUS,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,2182458.26,650623.29
2024 DEMOCRATIC CAUCUS,GENERAL EXPENDITURES,TRAVEL,25702.04,6389.17
2024 DEMOCRATIC CAUCUS,GENERAL EXPENDITURES,RENT  COMMUNICATION  UTILITIES,34351.42,10231.95
2024 DEMOCRATIC CAUCUS,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,1935.74,102.5
2024 DEMOCRATIC CAUCUS,GENERAL EXPENDITURES,OTHER SERVICES,60846,14581.23
2024 DEMOCRATIC CAUCUS,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,376428.29,94664.11
2024 DEMOCRATIC CAUCUS,GENERAL EXPENDITURES,EQUIPMENT,28722.43,15822.62
2024 DEMOCRATIC CAUCUS,GENERAL EXPENDITURES,GENERAL EXPENDITURES TOTALS:,2710444.18,792414.87
2024 DEMOCRATIC CAUCUS,GENERAL EXPENDITURES,OFFICE TOTALS:,2710444.18,792414.87
2024 DEMOCRATIC CAUCUS,INTERN ALLOWANCES,PERSONNEL COMPENSATION,62326.92,18828
2024 DEMOCRATIC CAUCUS,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,62326.92,18828
2024 DEMOCRATIC CAUCUS,INTERN ALLOWANCES,OFFICE TOTALS:,62326.92,18828
2024 REPUBLICAN CONFERENCE,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,2075197,572282.74
2024 REPUBLICAN CONFERENCE,GENERAL EXPENDITURES,TRAVEL,5227.1,1116.24
2024 REPUBLICAN CONFERENCE,GENERAL EXPENDITURES,RENT  COMMUNICATION  UTILITIES,71221.07,33419.51
2024 REPUBLICAN CONFERENCE,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,4875.42,93.9
2024 REPUBLICAN CONFERENCE,GENERAL EXPENDITURES,OTHER SERVICES,203540.53,37261.22
2024 REPUBLICAN CONFERENCE,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,285880.26,86424.62
2024 REPUBLICAN CONFERENCE,GENERAL EXPENDITURES,EQUIPMENT,73726.13,41575.37
2024 REPUBLICAN CONFERENCE,GENERAL EXPENDITURES,GENERAL EXPENDITURES TOTALS:,2719667.51,772173.6
2024 REPUBLICAN CONFERENCE,GENERAL EXPENDITURES,OFFICE TOTALS:,2719667.51,772173.6
2024 REPUBLICAN CONFERENCE,INTERN ALLOWANCES,PERSONNEL COMPENSATION,48015.21,25255.23
2024 REPUBLICAN CONFERENCE,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,48015.21,25255.23
2024 REPUBLICAN CONFERENCE,INTERN ALLOWANCES,OFFICE TOTALS:,48015.21,25255.23
FISCAL YEAR 2025 CHIEF ADMIN OFCR OF THE HOUSE,SALARIES  OFFICERS & EMPLOYEES,PERSONNEL COMPENSATION,23980628.39,23980628.39
FISCAL YEAR 2025 CHIEF ADMIN OFCR OF THE HOUSE,SALARIES  OFFICERS & EMPLOYEES,SALARIES  OFFICERS & EMPLOYEES TOTALS:,23980628.39,23980628.39
FISCAL YEAR 2025 CHIEF ADMIN OFCR OF THE HOUSE,ADMIN AND OPS,TRAVEL,22190.23,22190.23
FISCAL YEAR 2025 CHIEF ADMIN OFCR OF THE HOUSE,ADMIN AND OPS,TRANSPORTATION OF THINGS,5125.81,5125.81
FISCAL YEAR 2025 CHIEF ADMIN OFCR OF THE HOUSE,ADMIN AND OPS,RENT  COMMUNICATION  UTILITIES,182397.05,182397.05
FISCAL YEAR 2025 CHIEF ADMIN OFCR OF THE HOUSE,ADMIN AND OPS,PRINTING AND REPRODUCTION,2743.43,2743.43
FISCAL YEAR 2025 CHIEF ADMIN OFCR OF THE HOUSE,ADMIN AND OPS,OTHER SERVICES,90110.97,90110.97
FISCAL YEAR 2025 CHIEF ADMIN OFCR OF THE HOUSE,ADMIN AND OPS,SUPPLIES AND MATERIALS,92979.01,92979.01
FISCAL YEAR 2025 CHIEF ADMIN OFCR OF THE HOUSE,ADMIN AND OPS,EQUIPMENT,64592.09,64592.09
FISCAL YEAR 2025 CHIEF ADMIN OFCR OF THE HOUSE,ADMIN AND OPS,ADMIN AND OPS TOTALS:,460138.59,460138.59
FISCAL YEAR 2025 CHIEF ADMIN OFCR OF THE HOUSE,CHILD CARE CENTER TRAINING,OTHER SERVICES,6720,6720
FISCAL YEAR 2025 CHIEF ADMIN OFCR OF THE HOUSE,CHILD CARE CENTER TRAINING,CHILD CARE CENTER TRAINING TOTALS:,6720,6720
FISCAL YEAR 2025 CHIEF ADMIN OFCR OF THE HOUSE,AOC MAIL IPAC,OTHER SERVICES,120580.98,120580.98
FISCAL YEAR 2025 CHIEF ADMIN OFCR OF THE HOUSE,AOC MAIL IPAC,EQUIPMENT,9001.28,9001.28
FISCAL YEAR 2025 CHIEF ADMIN OFCR OF THE HOUSE,AOC MAIL IPAC,AOC MAIL IPAC TOTALS:,129582.26,129582.26
FISCAL YEAR 2025 CHIEF ADMIN OFCR OF THE HOUSE,CAO SAFETY PROGRAM,TRAVEL,448.21,448.21
FISCAL YEAR 2025 CHIEF ADMIN OFCR OF THE HOUSE,CAO SAFETY PROGRAM,RENT  COMMUNICATION  UTILITIES,43.79,43.79
FISCAL YEAR 2025 CHIEF ADMIN OFCR OF THE HOUSE,CAO SAFETY PROGRAM,PRINTING AND REPRODUCTION,601.99,601.99
FISCAL YEAR 2025 CHIEF ADMIN OFCR OF THE HOUSE,CAO SAFETY PROGRAM,OTHER SERVICES,4215,4215
FISCAL YEAR 2025 CHIEF ADMIN OFCR OF THE HOUSE,CAO SAFETY PROGRAM,SUPPLIES AND MATERIALS,3216.5,3216.5
FISCAL YEAR 2025 CHIEF ADMIN OFCR OF THE HOUSE,CAO SAFETY PROGRAM,CAO SAFETY PROGRAM TOTALS:,8525.49,8525.49
FISCAL YEAR 2025 CHIEF ADMIN OFCR OF THE HOUSE,CONGRESSIONAL STAFF ACADEMY,TRAVEL,1086.16,1086.16
FISCAL YEAR 2025 CHIEF ADMIN OFCR OF THE HOUSE,CONGRESSIONAL STAFF ACADEMY,SUPPLIES AND MATERIALS,1089.54,1089.54
FISCAL YEAR 2025 CHIEF ADMIN OFCR OF THE HOUSE,CONGRESSIONAL STAFF ACADEMY,EQUIPMENT,6625,6625
FISCAL YEAR 2025 CHIEF ADMIN OFCR OF THE HOUSE,CONGRESSIONAL STAFF ACADEMY,CONGRESSIONAL STAFF ACADEMY TOTALS:,8800.7,8800.7
FISCAL YEAR 2025 CHIEF ADMIN OFCR OF THE HOUSE,WEB SOLUTIONS,OTHER SERVICES,85915.92,85915.92
FISCAL YEAR 2025 CHIEF ADMIN OFCR OF THE HOUSE,WEB SOLUTIONS,WEB SOLUTIONS TOTALS:,85915.92,85915.92
FISCAL YEAR 2025 CHIEF ADMIN OFCR OF THE HOUSE,PEOPLESOFT FINANCIALS,OTHER SERVICES,43807.4,43807.4
FISCAL YEAR 2025 CHIEF ADMIN OFCR OF THE HOUSE,PEOPLESOFT FINANCIALS,SUPPLIES AND MATERIALS,949,949
FISCAL YEAR 2025 CHIEF ADMIN OFCR OF THE HOUSE,PEOPLESOFT FINANCIALS,PEOPLESOFT FINANCIALS TOTALS:,44756.4,44756.4
FISCAL YEAR 2025 CHIEF ADMIN OFCR OF THE HOUSE,REMEDY/CTS ACTIVITY,OTHER SERVICES,12000,12000
FISCAL YEAR 2025 CHIEF ADMIN OFCR OF THE HOUSE,REMEDY/CTS ACTIVITY,REMEDY/CTS ACTIVITY TOTALS:,12000,12000
FISCAL YEAR 2025 CHIEF ADMIN OFCR OF THE HOUSE,ENTERPRISE TECHNOLOGY SYSTEMS,OTHER SERVICES,844166.9,844166.9
FISCAL YEAR 2025 CHIEF ADMIN OFCR OF THE HOUSE,ENTERPRISE TECHNOLOGY SYSTEMS,ENTERPRISE TECHNOLOGY SYSTEMS TOTALS:,844166.9,844166.9
FISCAL YEAR 2025 CHIEF ADMIN OFCR OF THE HOUSE,RECEPTIONS,SUPPLIES AND MATERIALS,2088.8,2088.8
FISCAL YEAR 2025 CHIEF ADMIN OFCR OF THE HOUSE,RECEPTIONS,RECEPTIONS TOTALS:,2088.8,2088.8
FISCAL YEAR 2025 CHIEF ADMIN OFCR OF THE HOUSE,ENTERPRISE INFRASTRUCTURE TECH,EQUIPMENT,27768,27768
FISCAL YEAR 2025 CHIEF ADMIN OFCR OF THE HOUSE,ENTERPRISE INFRASTRUCTURE TECH,ENTERPRISE INFRASTRUCTURE TECH TOTALS:,27768,27768
FISCAL YEAR 2025 CHIEF ADMIN OFCR OF THE HOUSE,OFFICE OF TALENT & DEVELOPMENT,TRAVEL,4221.22,4221.22
FISCAL YEAR 2025 CHIEF ADMIN OFCR OF THE HOUSE,OFFICE OF TALENT & DEVELOPMENT,PRINTING AND REPRODUCTION,2547,2547
FISCAL YEAR 2025 CHIEF ADMIN OFCR OF THE HOUSE,OFFICE OF TALENT & DEVELOPMENT,OTHER SERVICES,15,15
FISCAL YEAR 2025 CHIEF ADMIN OFCR OF THE HOUSE,OFFICE OF TALENT & DEVELOPMENT,SUPPLIES AND MATERIALS,3222.01,3222.01
FISCAL YEAR 2025 CHIEF ADMIN OFCR OF THE HOUSE,OFFICE OF TALENT & DEVELOPMENT,OFFICE OF TALENT & DEVELOPMENT TOTALS:,10005.23,10005.23
FISCAL YEAR 2025 CHIEF ADMIN OFCR OF THE HOUSE,ASSET OPERATIONS,SUPPLIES AND MATERIALS,663,663
FISCAL YEAR 2025 CHIEF ADMIN OFCR OF THE HOUSE,ASSET OPERATIONS,EQUIPMENT,1030,1030
FISCAL YEAR 2025 CHIEF ADMIN OFCR OF THE HOUSE,ASSET OPERATIONS,ASSET OPERATIONS TOTALS:,1693,1693
FISCAL YEAR 2025 CHIEF ADMIN OFCR OF THE HOUSE,IDENTITY ACCESS MANAGEMENT,SUPPLIES AND MATERIALS,135,135
FISCAL YEAR 2025 CHIEF ADMIN OFCR OF THE HOUSE,IDENTITY ACCESS MANAGEMENT,IDENTITY ACCESS MANAGEMENT TOTALS:,135,135
FISCAL YEAR 2025 CHIEF ADMIN OFCR OF THE HOUSE,CABINET & FINISHING SERVICES,SUPPLIES AND MATERIALS,52174.24,52174.24
FISCAL YEAR 2025 CHIEF ADMIN OFCR OF THE HOUSE,CABINET & FINISHING SERVICES,EQUIPMENT,-14203.97,-14203.97
FISCAL YEAR 2025 CHIEF ADMIN OFCR OF THE HOUSE,CABINET & FINISHING SERVICES,CABINET & FINISHING SERVICES TOTALS:,37970.27,37970.27
FISCAL YEAR 2025 CHIEF ADMIN OFCR OF THE HOUSE,HRS FIELD HEARING,TRAVEL,7286.62,7286.62
FISCAL YEAR 2025 CHIEF ADMIN OFCR OF THE HOUSE,HRS FIELD HEARING,HRS FIELD HEARING TOTALS:,7286.62,7286.62
FISCAL YEAR 2025 CHIEF ADMIN OFCR OF THE HOUSE,TELEPHONE OPERATORS,OTHER SERVICES,247500,247500
FISCAL YEAR 2025 CHIEF ADMIN OFCR OF THE HOUSE,TELEPHONE OPERATORS,TELEPHONE OPERATORS TOTALS:,247500,247500
FISCAL YEAR 2025 CHIEF ADMIN OFCR OF THE HOUSE,CAO IT SERVICE MANAGEMENT,OTHER SERVICES,32242,32242
FISCAL YEAR 2025 CHIEF ADMIN OFCR OF THE HOUSE,CAO IT SERVICE MANAGEMENT,CAO IT SERVICE MANAGEMENT TOTALS:,32242,32242
FISCAL YEAR 2025 CHIEF ADMIN OFCR OF THE HOUSE,SUPPORT SYSTEMS OPERATIONS,OTHER SERVICES,4742.4,4742.4
FISCAL YEAR 2025 CHIEF ADMIN OFCR OF THE HOUSE,SUPPORT SYSTEMS OPERATIONS,SUPPLIES AND MATERIALS,35,35
FISCAL YEAR 2025 CHIEF ADMIN OFCR OF THE HOUSE,SUPPORT SYSTEMS OPERATIONS,SUPPORT SYSTEMS OPERATIONS TOTALS:,4777.4,4777.4
FISCAL YEAR 2025 CHIEF ADMIN OFCR OF THE HOUSE,FURNITURE AND REFURBISHMENT,SUPPLIES AND MATERIALS,59475,59475
FISCAL YEAR 2025 CHIEF ADMIN OFCR OF THE HOUSE,FURNITURE AND REFURBISHMENT,EQUIPMENT,22800,22800
FISCAL YEAR 2025 CHIEF ADMIN OFCR OF THE HOUSE,FURNITURE AND REFURBISHMENT,FURNITURE AND REFURBISHMENT TOTALS:,82275,82275
FISCAL YEAR 2025 CHIEF ADMIN OFCR OF THE HOUSE,HOUSE RECORDING STUDIO OPS,SUPPLIES AND MATERIALS,120,120
FISCAL YEAR 2025 CHIEF ADMIN OFCR OF THE HOUSE,HOUSE RECORDING STUDIO OPS,HOUSE RECORDING STUDIO OPS TOTALS:,120,120
FISCAL YEAR 2025 CHIEF ADMIN OFCR OF THE HOUSE,HOUSE WELLNESS PROGRAM,TRAVEL,533.46,533.46
FISCAL YEAR 2025 CHIEF ADMIN OFCR OF THE HOUSE,HOUSE WELLNESS PROGRAM,OTHER SERVICES,25,25
FISCAL YEAR 2025 CHIEF ADMIN OFCR OF THE HOUSE,HOUSE WELLNESS PROGRAM,SUPPLIES AND MATERIALS,8203.63,8203.63
FISCAL YEAR 2025 CHIEF ADMIN OFCR OF THE HOUSE,HOUSE WELLNESS PROGRAM,HOUSE WELLNESS PROGRAM TOTALS:,8762.09,8762.09
FISCAL YEAR 2025 CHIEF ADMIN OFCR OF THE HOUSE,TELECOMMUNICATIONS,RENT  COMMUNICATION  UTILITIES,127231.8,127231.8
FISCAL YEAR 2025 CHIEF ADMIN OFCR OF THE HOUSE,TELECOMMUNICATIONS,EQUIPMENT,500000,500000
FISCAL YEAR 2025 CHIEF ADMIN OFCR OF THE HOUSE,TELECOMMUNICATIONS,TELECOMMUNICATIONS TOTALS:,627231.8,627231.8
FISCAL YEAR 2025 CHIEF ADMIN OFCR OF THE HOUSE,NETWORK SERVICES,OTHER SERVICES,3350.71,3350.71
FISCAL YEAR 2025 CHIEF ADMIN OFCR OF THE HOUSE,NETWORK SERVICES,SUPPLIES AND MATERIALS,249334.16,249334.16
FISCAL YEAR 2025 CHIEF ADMIN OFCR OF THE HOUSE,NETWORK SERVICES,EQUIPMENT,893982.21,893982.21
FISCAL YEAR 2025 CHIEF ADMIN OFCR OF THE HOUSE,NETWORK SERVICES,NETWORK SERVICES TOTALS:,1146667.08,1146667.08
FISCAL YEAR 2025 CHIEF ADMIN OFCR OF THE HOUSE,WIDE AREA NETWORK,RENT  COMMUNICATION  UTILITIES,191361.79,191361.79
FISCAL YEAR 2025 CHIEF ADMIN OFCR OF THE HOUSE,WIDE AREA NETWORK,EQUIPMENT,62325.5,62325.5
FISCAL YEAR 2025 CHIEF ADMIN OFCR OF THE HOUSE,WIDE AREA NETWORK,WIDE AREA NETWORK TOTALS:,253687.29,253687.29
FISCAL YEAR 2025 CHIEF ADMIN OFCR OF THE HOUSE,CAMPUS NETWORKING,OTHER SERVICES,67720.03,67720.03
FISCAL YEAR 2025 CHIEF ADMIN OFCR OF THE HOUSE,CAMPUS NETWORKING,SUPPLIES AND MATERIALS,34583.61,34583.61
FISCAL YEAR 2025 CHIEF ADMIN OFCR OF THE HOUSE,CAMPUS NETWORKING,EQUIPMENT,19184,19184
FISCAL YEAR 2025 CHIEF ADMIN OFCR OF THE HOUSE,CAMPUS NETWORKING,CAMPUS NETWORKING TOTALS:,121487.64,121487.64
FISCAL YEAR 2025 CHIEF ADMIN OFCR OF THE HOUSE,CARPET SERVICES,SUPPLIES AND MATERIALS,2331.06,2331.06
FISCAL YEAR 2025 CHIEF ADMIN OFCR OF THE HOUSE,CARPET SERVICES,EQUIPMENT,535.18,535.18
FISCAL YEAR 2025 CHIEF ADMIN OFCR OF THE HOUSE,CARPET SERVICES,CARPET SERVICES TOTALS:,2866.24,2866.24
FISCAL YEAR 2025 CHIEF ADMIN OFCR OF THE HOUSE,DRAPERY & UPHOLSTERY SERVICES,SUPPLIES AND MATERIALS,4925.15,4925.15
FISCAL YEAR 2025 CHIEF ADMIN OFCR OF THE HOUSE,DRAPERY & UPHOLSTERY SERVICES,DRAPERY & UPHOLSTERY SERVICES TOTALS:,4925.15,4925.15
FISCAL YEAR 2025 CHIEF ADMIN OFCR OF THE HOUSE,FINISH SCHEDULE,SUPPLIES AND MATERIALS,1116.66,1116.66
FISCAL YEAR 2025 CHIEF ADMIN OFCR OF THE HOUSE,FINISH SCHEDULE,FINISH SCHEDULE TOTALS:,1116.66,1116.66
FISCAL YEAR 2025 CHIEF ADMIN OFCR OF THE HOUSE,BENEFITS AND COMPENSATION,EQUIPMENT,497967.41,497967.41
FISCAL YEAR 2025 CHIEF ADMIN OFCR OF THE HOUSE,BENEFITS AND COMPENSATION,BENEFITS AND COMPENSATION TOTALS:,497967.41,497967.41
FISCAL YEAR 2025 CHIEF ADMIN OFCR OF THE HOUSE,BENEFITS AND COMPENSATION,OFFICE TOTALS:,28699807.33,28699807.33
FISCAL YEAR 2025 WHISTLEBLOWER OMBUDS,SALARIES  OFFICERS & EMPLOYEES,PERSONNEL COMPENSATION,191525.01,191525.01
FISCAL YEAR 2025 WHISTLEBLOWER OMBUDS,SALARIES  OFFICERS & EMPLOYEES,SALARIES  OFFICERS & EMPLOYEES TOTALS:,191525.01,191525.01
FISCAL YEAR 2025 WHISTLEBLOWER OMBUDS,ADMIN AND OPS,RENT  COMMUNICATION  UTILITIES,7177.75,7177.75
FISCAL YEAR 2025 WHISTLEBLOWER OMBUDS,ADMIN AND OPS,PRINTING AND REPRODUCTION,11212,11212
FISCAL YEAR 2025 WHISTLEBLOWER OMBUDS,ADMIN AND OPS,OTHER SERVICES,5385,5385
FISCAL YEAR 2025 WHISTLEBLOWER OMBUDS,ADMIN AND OPS,SUPPLIES AND MATERIALS,3331.73,3331.73
FISCAL YEAR 2025 WHISTLEBLOWER OMBUDS,ADMIN AND OPS,ADMIN AND OPS TOTALS:,27106.48,27106.48
FISCAL YEAR 2025 WHISTLEBLOWER OMBUDS,ADMIN AND OPS,OFFICE TOTALS:,218631.49,218631.49
FISCAL YEAR 2025 CLERK OF THE HOUSE,SALARIES  OFFICERS & EMPLOYEES,PERSONNEL COMPENSATION,7084665.72,7084665.72
FISCAL YEAR 2025 CLERK OF THE HOUSE,SALARIES  OFFICERS & EMPLOYEES,TRAVEL,4358.69,4358.69
FISCAL YEAR 2025 CLERK OF THE HOUSE,SALARIES  OFFICERS & EMPLOYEES,RENT  COMMUNICATION  UTILITIES,34223.76,34223.76
FISCAL YEAR 2025 CLERK OF THE HOUSE,SALARIES  OFFICERS & EMPLOYEES,PRINTING AND REPRODUCTION,140.33,140.33
FISCAL YEAR 2025 CLERK OF THE HOUSE,SALARIES  OFFICERS & EMPLOYEES,OTHER SERVICES,870.8,870.8
FISCAL YEAR 2025 CLERK OF THE HOUSE,SALARIES  OFFICERS & EMPLOYEES,SUPPLIES AND MATERIALS,4302.25,4302.25
FISCAL YEAR 2025 CLERK OF THE HOUSE,SALARIES  OFFICERS & EMPLOYEES,EQUIPMENT,1503.5,1503.5
FISCAL YEAR 2025 CLERK OF THE HOUSE,SALARIES  OFFICERS & EMPLOYEES,SALARIES  OFFICERS & EMPLOYEES TOTALS:,7130065.05,7130065.05
FISCAL YEAR 2025 CLERK OF THE HOUSE,SALARIES  OFFICERS & EMPLOYEES,OFFICE TOTALS:,7130065.05,7130065.05
FISCAL YEAR 2025 OFFICE OF GENERAL COUNSEL,SALARIES  OFFICERS & EMPLOYEES,FRANKED MAIL,-350.54,-350.54
FISCAL YEAR 2025 OFFICE OF GENERAL COUNSEL,SALARIES  OFFICERS & EMPLOYEES,PERSONNEL COMPENSATION,423091.72,423091.72
FISCAL YEAR 2025 OFFICE OF GENERAL COUNSEL,SALARIES  OFFICERS & EMPLOYEES,RENT  COMMUNICATION  UTILITIES,1695.76,1695.76
FISCAL YEAR 2025 OFFICE OF GENERAL COUNSEL,SALARIES  OFFICERS & EMPLOYEES,PRINTING AND REPRODUCTION,2340,2340
